sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Commandes,I19,19,9,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G17=0 | H17=0 | I17=0 | J17=0 | K17=0 | G18=0 | H18=0 | I18=0 | J18=0 | K18=0 | G19=9 | H19=9 | J19=9 | K19=9 | G20=3 | H20=3 | I20=3 | J20=3 | K20=3 | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20)
Commandes,J19,19,10,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H17=0 | I17=0 | J17=0 | K17=0 | L17=0 | H18=0 | I18=0 | J18=0 | K18=0 | L18=0 | H19=9 | I19=9 | K19=9 | L19=9 | H20=3 | I20=3 | J20=3 | K20=3 | L20=3 | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20)
Commandes,K19,19,11,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I17=0 | J17=0 | K17=0 | L17=0 | M17=0 | I18=0 | J18=0 | K18=0 | L18=0 | M18=0 | I19=9 | J19=9 | L19=9 | M19=9 | I20=3 | J20=3 | K20=3 | L20=3 | M20=3 | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20)
Commandes,L19,19,12,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J17=0 | K17=0 | L17=0 | M17=0 | N17=0 | J18=0 | K18=0 | L18=0 | M18=0 | N18=0 | J19=9 | K19=9 | M19=9 | N19=9 | J20=3 | K20=3 | L20=3 | M20=3 | N20=3 | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20)
Commandes,M19,19,13,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K17=0 | L17=0 | M17=0 | N17=0 | O17==SUM(C17:N17) | K18=0 | L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | K19=9 | L19=9 | N19=9 | O19==SUM(C19:N19) | K20=3 | L20=3 | M20=3 | N20=3 | O20==SUM(C20:N20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20) | O21==SUM(O17:O20)
Commandes,N19,19,14,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L17=0 | M17=0 | N17=0 | O17==SUM(C17:N17) | L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | L19=9 | M19=9 | O19==SUM(C19:N19) | L20=3 | M20=3 | N20=3 | O20==SUM(C20:N20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20) | O21==SUM(O17:O20)
Commandes,C20,20,3,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B18==+B36 | C18=0 | D18=0 | E18=0 | B19==+B37 | C19=9 | D19=9 | E19=9 | B20==+B38 | D20=3 | E20=3 | B21=Total ABR | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20)
Commandes,D20,20,4,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B18==+B36 | C18=0 | D18=0 | E18=0 | F18=0 | B19==+B37 | C19=9 | D19=9 | E19=9 | F19=9 | B20==+B38 | C20=3 | E20=3 | F20=3 | B21=Total ABR | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20)
Commandes,E20,20,5,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C18=0 | D18=0 | E18=0 | F18=0 | G18=0 | C19=9 | D19=9 | E19=9 | F19=9 | G19=9 | C20=3 | D20=3 | F20=3 | G20=3 | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20)
Commandes,F20,20,6,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D18=0 | E18=0 | F18=0 | G18=0 | H18=0 | D19=9 | E19=9 | F19=9 | G19=9 | H19=9 | D20=3 | E20=3 | G20=3 | H20=3 | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20)
Commandes,G20,20,7,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E18=0 | F18=0 | G18=0 | H18=0 | I18=0 | E19=9 | F19=9 | G19=9 | H19=9 | I19=9 | E20=3 | F20=3 | H20=3 | I20=3 | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20)
Commandes,H20,20,8,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F18=0 | G18=0 | H18=0 | I18=0 | J18=0 | F19=9 | G19=9 | H19=9 | I19=9 | J19=9 | F20=3 | G20=3 | I20=3 | J20=3 | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20)
Commandes,I20,20,9,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G18=0 | H18=0 | I18=0 | J18=0 | K18=0 | G19=9 | H19=9 | I19=9 | J19=9 | K19=9 | G20=3 | H20=3 | J20=3 | K20=3 | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20)
Commandes,J20,20,10,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H18=0 | I18=0 | J18=0 | K18=0 | L18=0 | H19=9 | I19=9 | J19=9 | K19=9 | L19=9 | H20=3 | I20=3 | K20=3 | L20=3 | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20)
Commandes,K20,20,11,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I18=0 | J18=0 | K18=0 | L18=0 | M18=0 | I19=9 | J19=9 | K19=9 | L19=9 | M19=9 | I20=3 | J20=3 | L20=3 | M20=3 | I21==SUM(I17:I20) | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20)
Commandes,L20,20,12,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J18=0 | K18=0 | L18=0 | M18=0 | N18=0 | J19=9 | K19=9 | L19=9 | M19=9 | N19=9 | J20=3 | K20=3 | M20=3 | N20=3 | J21==SUM(J17:J20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20)
Commandes,M20,20,13,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K18=0 | L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | K19=9 | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19) | K20=3 | L20=3 | N20=3 | O20==SUM(C20:N20) | K21==SUM(K17:K20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20) | O21==SUM(O17:O20)
Commandes,N20,20,14,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19) | L20=3 | M20=3 | O20==SUM(C20:N20) | L21==SUM(L17:L20) | M21==SUM(M17:M20) | N21==SUM(N17:N20) | O21==SUM(O17:O20)
Données SOMIDA,E51,51,5,NUMBER,20,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00","C49==+C18 | D49==+E49*12 | E49==+F49*25 | F49==ROUND(+G49*F48,1) | G49==+Production!R23 | C50==+C19 | D50==+E50*12 | E50==+F50*25 | F50==+F48-F49 | G50==+Production!R30 | C51==+C20 | D51==+E51*12 | F51==+E20/25 | G51==+G20 | C53=Nombre coupeur(s)e | D53==+E53*12 | E53==+F53*25 | F53=200 | G53=Personnes"
Données SOMIDA,D59,59,4,NUMBER,0.1,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),0.0%,C57=Matieres de base | D57=Micas gazs | C58=Rendement micas bruts vs gaz | D58=0.8 | C59=Rendement micas bruts vs dechets | C60=Besoins en Micas Gaz | E60==+D48/$D$58 | F60==+E48/$D$58 | C61=Lieux d'achats
Données SOMIDA,M62,62,13,NUMBER,0.3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),0%,"K60==+L60*25 | L60==ROUND(+L48/$D$58,1) | K62==+L62*25 | L62==ROUND(+$L$60*M62,0) | K63==+L63*25 | L63==ROUND(+$L$60*M63,0) | M63=0.4 | K64==+L64*25 | L64==ROUND(+$L$60*M64,0) | M64=0.2"
Données SOMIDA,M63,63,13,NUMBER,0.4,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),0%,"K62==+L62*25 | L62==ROUND(+$L$60*M62,0) | M62=0.3 | K63==+L63*25 | L63==ROUND(+$L$60*M63,0) | K64==+L64*25 | L64==ROUND(+$L$60*M64,0) | M64=0.2 | K65==+L65*25 | L65==+L60-L62-L63-L64 | M65=0.1"
Données SOMIDA,M64,64,13,NUMBER,0.2,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),0%,"K62==+L62*25 | L62==ROUND(+$L$60*M62,0) | M62=0.3 | K63==+L63*25 | L63==ROUND(+$L$60*M63,0) | M63=0.4 | K64==+L64*25 | L64==ROUND(+$L$60*M64,0) | K65==+L65*25 | L65==+L60-L62-L63-L64 | M65=0.1"
Données SOMIDA,L74,74,12,NUMBER,0.8,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00",N72==+E72+G72 | N73==+E73+G73 | J74==+K74*12 | K74==+L74*25 | N74==+E74+G74 | J75==+K75*12 | K75=17.8 | L75=0.71 | N75==+E75+G75 | N76==+E76+G76
Données SOMIDA,K75,75,11,NUMBER,17.8,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00",I74==+C79 | J74==+K74*12 | K74==+L74*25 | L74=0.8 | I75==+C80 | J75==+K75*12 | L75=0.71 | I77==+C81 | J77==+K77*12 | K77==12*28 | L77==+K77/28
Données SOMIDA,E76,76,5,NUMBER,100,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00",C74==+C64 | D74=0 km | G74=450 | C75==+C65 | D75=200 km | E75=200 | F75=ar/kg | G75=250 | C76==+C66 | D76=520 km | F76=ar/kg | G76=350 | C78=Prix de vente
Données SOMIDA,G76,76,7,NUMBER,350,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00",G74=450 | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | G75=250 | H75=Ar/kg | I75==+C80 | E76=100 | F76=ar/kg | H76=Ar/kg | I77==+C81 | I78==+C82
Données SOMIDA,L78,78,12,NUMBER,8,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00",N76==+E76+G76 | J77==+K77*12 | K77==12*28 | L77==+K77/28 | J78==+K78*12 | K78==10*25 | N79=Japon | J80==+K80*12 | K80=20 | L80==+K80/25 | N80=Japon
Détails,B25,25,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A23=POTENTIALITES EN MICA BRUTE | A24=Tranomaro | B24=Jours | C24=Semaines | D24=Mois | A25=- Tsimalaha | C25==+B25*5 | D25==+C25*4 | A26=- Andranondambo | B26=6 | C26==+B26*5 | D26==+C26*4 | A27=- Marorotro | B27=6 | C27==+B27*5 | D27==+C27*4
Détails,B26,26,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A24=Tranomaro | B24=Jours | C24=Semaines | D24=Mois | A25=- Tsimalaha | B25=6 | C25==+B25*5 | D25==+C25*4 | A26=- Andranondambo | C26==+B26*5 | D26==+C26*4 | A27=- Marorotro | B27=6 | C27==+B27*5 | D27==+C27*4 | B28==SUM(B25:B27) | C28==SUM(C25:C27) | D28==SUM(D25:D27)
Détails,B27,27,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A25=- Tsimalaha | B25=6 | C25==+B25*5 | D25==+C25*4 | A26=- Andranondambo | B26=6 | C26==+B26*5 | D26==+C26*4 | A27=- Marorotro | C27==+B27*5 | D27==+C27*4 | B28==SUM(B25:B27) | C28==SUM(C25:C27) | D28==SUM(D25:D27) | A29=Ranopiso
Détails,B30,30,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",B28==SUM(B25:B27) | C28==SUM(C25:C27) | D28==SUM(D25:D27) | A29=Ranopiso | A30=- Ankazofotsy | C30==+B30*5 | D30==+C30*4 | A31=- Ambatoabo | B31=6 | C31==+B31*5 | D31==+C31*4 | A32=- Ampikazo | B32=6 | C32==+B32*5 | D32==+C32*4
Détails,B31,31,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A29=Ranopiso | A30=- Ankazofotsy | B30=6 | C30==+B30*5 | D30==+C30*4 | A31=- Ambatoabo | C31==+B31*5 | D31==+C31*4 | A32=- Ampikazo | B32=6 | C32==+B32*5 | D32==+C32*4 | A33=- FRS 1 | C33=30 | D33==+C33*4
Détails,B32,32,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A30=- Ankazofotsy | B30=6 | C30==+B30*5 | D30==+C30*4 | A31=- Ambatoabo | B31=6 | C31==+B31*5 | D31==+C31*4 | A32=- Ampikazo | C32==+B32*5 | D32==+C32*4 | A33=- FRS 1 | C33=30 | D33==+C33*4 | A34=- FRS 2 | C34=30 | D34==+C34*4
Détails,C33,33,3,NUMBER,30,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A31=- Ambatoabo | B31=6 | C31==+B31*5 | D31==+C31*4 | E31=200 | A32=- Ampikazo | B32=6 | C32==+B32*5 | D32==+C32*4 | E32=200 | A33=- FRS 1 | D33==+C33*4 | E33=300 | A34=- FRS 2 | C34=30 | D34==+C34*4 | E34=300 | A35=- FRS 3 | E35=300
Détails,C34,34,3,NUMBER,30,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",A32=- Ampikazo | B32=6 | C32==+B32*5 | D32==+C32*4 | E32=200 | A33=- FRS 1 | C33=30 | D33==+C33*4 | E33=300 | A34=- FRS 2 | D34==+C34*4 | E34=300 | A35=- FRS 3 | E35=300 | A36=- FRS 4 | E36=300
Détails,I36,36,9,NUMBER,2400,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I35=4200 | J36==+I36*2
Détails,E62,62,5,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",F60=Capacité | D61=Fréquence | E61=Jour | F61=Semaine | G61=Disponibilité | C62=Tracteur | D62=1 AR/J | F62==+E62*6 | G62==+C25 | C63=Camion | D63=1 AR/J | E63=15 | F63==+E63*6 | G63==+C26 | C64=Camion | D64=1 AR/J | E64=15 | F64==+E64*6 | G64==+C27
Détails,E63,63,5,NUMBER,15,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",D61=Fréquence | E61=Jour | F61=Semaine | G61=Disponibilité | C62=Tracteur | D62=1 AR/J | E62=6 | F62==+E62*6 | G62==+C25 | C63=Camion | D63=1 AR/J | F63==+E63*6 | G63==+C26 | C64=Camion | D64=1 AR/J | E64=15 | F64==+E64*6 | G64==+C27 | C65=Camion | D65=1 AR/Sem
Détails,E64,64,5,NUMBER,15,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",C62=Tracteur | D62=1 AR/J | E62=6 | F62==+E62*6 | G62==+C25 | C63=Camion | D63=1 AR/J | E63=15 | F63==+E63*6 | G63==+C26 | C64=Camion | D64=1 AR/J | F64==+E64*6 | G64==+C27 | C65=Camion | D65=1 AR/Sem | C66=Camion | D66=2 AR/Sem | F66==15*2 | G66==+SUM(G62:G64)
Détails,E67,67,5,NUMBER,15,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C65=Camion | D65=1 AR/Sem | C66=Camion | D66=2 AR/Sem | F66==15*2 | G66==+SUM(G62:G64) | C67=Camion | D67=1 AR/J | F67==+E67*5 | G67==+C28 | G68==SUM(G66:G67)
Détails,C82,82,3,NUMBER,180,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",A80=Kilometrage /semaine | E80=Par mois | A81=Tracteur | B81=5 x 16 km x 2 | C81==80*2 | D81=Par semaine | E81==+C81*4 | A82=Camion TRA FD N°1 SOMIDA | B82=6 x 30 km | D82=Par semaine | E82==+C82*4 | A83=Camion TRA FD N° 2 SOMIDA | B83=2 x 239 km x 1 | C83==239*2 | D83=Par semaine | E83==+C83*4 | A84=Camion TRA FD N°3 SOMIDA | B84=2 x73 km x 1 | C84=146 | D84=Par semaine | E84==+C84*4
Détails,C84,84,3,NUMBER,146,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",A82=Camion TRA FD N°1 SOMIDA | B82=6 x 30 km | C82=180 | D82=Par semaine | E82==+C82*4 | A83=Camion TRA FD N° 2 SOMIDA | B83=2 x 239 km x 1 | C83==239*2 | D83=Par semaine | E83==+C83*4 | A84=Camion TRA FD N°3 SOMIDA | B84=2 x73 km x 1 | D84=Par semaine | E84==+C84*4 | B85=Total | C85==SUM(C81:C84) | D85=Km | E85==SUM(E81:E84) | B86=Consommation GO | C86==+C85*0.45 | D86=Litres/semaine | E86==+E85*0.45
Détails,B88,88,2,NUMBER,6,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B86=Consommation GO | C86==+C85*0.45 | D86=Litres/semaine | A87=Pneumatiques | B87=Tous les 06 mois | A88=Camion 1 | C88=1000000 | D88==+B88*C88 | A89=Camion 2 | B89=10 | C89=1000000 | D89==+B89*C89 | A90=Camion 3 | B90=10 | C90=1000000 | D90==+B90*C90
Détails,C88,88,3,NUMBER,1000000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B86=Consommation GO | C86==+C85*0.45 | D86=Litres/semaine | E86==+E85*0.45 | A87=Pneumatiques | B87=Tous les 06 mois | E87==+E86*4000 | A88=Camion 1 | B88=6 | D88==+B88*C88 | A89=Camion 2 | B89=10 | C89=1000000 | D89==+B89*C89 | A90=Camion 3 | B90=10 | C90=1000000 | D90==+B90*C90
Détails,B89,89,2,NUMBER,10,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,A87=Pneumatiques | B87=Tous les 06 mois | A88=Camion 1 | B88=6 | C88=1000000 | D88==+B88*C88 | A89=Camion 2 | C89=1000000 | D89==+B89*C89 | A90=Camion 3 | B90=10 | C90=1000000 | D90==+B90*C90 | D91==SUM(D88:D90)
Détails,C89,89,3,NUMBER,1000000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,A87=Pneumatiques | B87=Tous les 06 mois | E87==+E86*4000 | A88=Camion 1 | B88=6 | C88=1000000 | D88==+B88*C88 | A89=Camion 2 | B89=10 | D89==+B89*C89 | A90=Camion 3 | B90=10 | C90=1000000 | D90==+B90*C90 | D91==SUM(D88:D90) | E91==+D91*2
Détails,B90,90,2,NUMBER,10,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,A88=Camion 1 | B88=6 | C88=1000000 | D88==+B88*C88 | A89=Camion 2 | B89=10 | C89=1000000 | D89==+B89*C89 | A90=Camion 3 | C90=1000000 | D90==+B90*C90 | D91==SUM(D88:D90) | A92=Réparations | B92=100000 | C92=Ar / camion/3 mois
Détails,C90,90,3,NUMBER,1000000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,A88=Camion 1 | B88=6 | C88=1000000 | D88==+B88*C88 | A89=Camion 2 | B89=10 | C89=1000000 | D89==+B89*C89 | A90=Camion 3 | B90=10 | D90==+B90*C90 | D91==SUM(D88:D90) | E91==+D91*2 | A92=Réparations | B92=100000 | C92=Ar / camion/3 mois
Détails,B92,92,2,NUMBER,100000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",A90=Camion 3 | B90=10 | C90=1000000 | D90==+B90*C90 | D91==SUM(D88:D90) | A92=Réparations | C92=Ar / camion/3 mois | A93=Chauffeurs | B93=200000 | A94=Aides Chauffeurs | B94=150000
Détails,B97,97,2,NUMBER,70000000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",A96=Valeurs | C96=Amortissements | A97=Camions | C97==+B97*0.25 | A98=Camions | B98=120000000 | C98==+B98*0.25 | A99=Camions | B99==+B98 | C99==+B99*0.25
Détails FF FD,D4,4,4,NUMBER,53927721.17645105,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",B2=Interets | C2=Mois 1 | D2=Mois 2 | E2=Mois 3 | F2=Mois 4 | B3=Année 1 | C3=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE79C450> | D3=66666666.666666664 | E3=66666666.666666664 | F3=66666666.666666664 | B4=Année 2 | C4=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE833DD0> | E4=51984543.597467035 | F4=50008979.72549995 | B5=Année 3 | C5=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE7D3D50> | D5=28348770.943441447 | E5=25979277.5272406 | F5=23570292.554103076 | B6=Année 4 | C6=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE3A1490>
Détails FF FD,E4,4,5,NUMBER,51984543.597467035,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",C2=Mois 1 | D2=Mois 2 | E2=Mois 3 | F2=Mois 4 | G2=Mois 5 | C3=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE79C450> | D3=66666666.666666664 | E3=66666666.666666664 | F3=66666666.666666664 | G3=66666666.666666664 | C4=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE833DD0> | D4=53927721.17645105 | F4=50008979.72549995 | G4=48000489.78900008 | C5=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE7D3D50> | D5=28348770.943441447 | E5=25979277.5272406 | F5=23570292.554103076 | G5=21121157.83141326 | C6=<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE3A1490>
Détails FF FD,F4,4,6,NUMBER,50008979.72549995,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",D2=Mois 2 | E2=Mois 3 | F2=Mois 4 | G2=Mois 5 | H2=Mois 6 | D3=66666666.666666664 | E3=66666666.666666664 | F3=66666666.666666664 | G3=66666666.666666664 | H3=66666666.666666664 | D4=53927721.17645105 | E4=51984543.597467035 | G4=48000489.78900008 | H4=45958525.02022521 | D5=28348770.943441447 | E5=25979277.5272406 | F5=23570292.554103076 | G5=21121157.83141326 | H5=18631204.196678616
Détails FF FD,G4,4,7,NUMBER,48000489.78900008,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",E2=Mois 3 | F2=Mois 4 | G2=Mois 5 | H2=Mois 6 | I2=Mois 7 | E3=66666666.666666664 | F3=66666666.666666664 | G3=66666666.666666664 | H3=66666666.666666664 | I3=66666666.666666664 | E4=51984543.597467035 | F4=50008979.72549995 | H4=45958525.02022521 | I4=43882527.5053041 | E5=25979277.5272406 | F5=23570292.554103076 | G5=21121157.83141326 | H5=18631204.196678616 | I5=16099751.33469839
Détails FF FD,H4,4,8,NUMBER,45958525.02022521,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",F2=Mois 4 | G2=Mois 5 | H2=Mois 6 | I2=Mois 7 | J2=Mois 8 | F3=66666666.666666664 | G3=66666666.666666664 | H3=66666666.666666664 | I3=66666666.666666664 | J3=64935804.845852904 | F4=50008979.72549995 | G4=48000489.78900008 | I4=43882527.5053041 | J4=41771930.03180096 | F5=23570292.554103076 | G5=21121157.83141326 | H5=18631204.196678616 | I5=16099751.33469839 | J5=13526107.591685161
Détails FF FD,I4,4,9,NUMBER,43882527.5053041,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",G2=Mois 5 | H2=Mois 6 | I2=Mois 7 | J2=Mois 8 | K2=Mois 9 | G3=66666666.666666664 | H3=66666666.666666664 | I3=66666666.666666664 | J3=64935804.845852904 | K3=63176095.32802559 | G4=48000489.78900008 | H4=45958525.02022521 | J4=41771930.03180096 | K4=39626155.93373944 | G5=21121157.83141326 | H5=18631204.196678616 | I5=16099751.33469839 | J5=13526107.591685161 | K5=10909569.78628838
